"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/27/2023","AQS","130890002","2","42.8","ppb","40","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/28/2023","AQS","130890002","2","26.6","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/29/2023","AQS","130890002","2","45.2","ppb","42","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/30/2023","AQS","130890002","2","47.9","ppb","44","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/31/2023","AQS","130890002","2","41","ppb","39","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/01/2023","AQS","130890002","2","8.6","ppb","8","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/02/2023","AQS","130890002","2","41.5","ppb","39","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/03/2023","AQS","130890002","2","25.3","ppb","24","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/04/2023","AQS","130890002","2","9.3","ppb","8","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/05/2023","AQS","130890002","2","21.4","ppb","20","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/06/2023","AQS","130890002","2","19","ppb","18","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/07/2023","AQS","130890002","2","11.7","ppb","10","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/08/2023","AQS","130890002","2","3.6","ppb","3","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/09/2023","AQS","130890002","2","11.4","ppb","10","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/10/2023","AQS","130890002","2","35.9","ppb","33","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/11/2023","AQS","130890002","2","40","ppb","38","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/12/2023","AQS","130890002","2","36.1","ppb","34","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/13/2023","AQS","130890002","2","27.5","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/14/2023","AQS","130890002","2","16.6","ppb","15","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/15/2023","AQS","130890002","2","14.6","ppb","13","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/16/2023","AQS","130890002","2","15.7","ppb","14","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/17/2023","AQS","130890002","2","36.5","ppb","34","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/18/2023","AQS","130890002","2","41.5","ppb","39","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/19/2023","AQS","130890002","2","42.9","ppb","40","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/20/2023","AQS","130890002","2","35.7","ppb","33","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/21/2023","AQS","130890002","2","29.1","ppb","27","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/22/2023","AQS","130890002","2","29.9","ppb","27","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/23/2023","AQS","130890002","2","23","ppb","22","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/24/2023","AQS","130890002","2","16.2","ppb","15","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/25/2023","AQS","130890002","2","29.5","ppb","27","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/26/2023","AQS","130890002","2","6.1","ppb","6","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/27/2023","AQS","130890002","2","10.2","ppb","9","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"04/28/2023","AQS","130890002","2","27.9","ppb","25","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
